eng,jap
pursue,追及する、遂行する、続行する
inform,知らせる、告げる、影響を与える
anyway,とにかく
degree,（大学の）学位、程度
benefit,利益を得る／特典、福利厚生
replace,を取り替える
infer,推察する、考える
following,に続いて／次の、以下の
accomplish,成し遂げる、完遂する、達成する
reinforce,強化する
demand,要求する、請求する
refer,参照する、言及する、（人を）紹介する
booking,（ホテルや乗り物の）予約
assemble,組み立てる、集める
despite,にもかかわらず
cause,引き起こす、もたらす／原因
available,入手できる、利用できる、購入できる、
commercial,商業の、商業的な
occupy,占有する
compare,比較する、比べる、例える
inquire,尋ねる、問い合わせる
department,部門、売り場
describe,説明する、描写する
a couple of ,２、３の
remove,取り除く
conference,会議、学会
decision,決定、決定事項
introduce,紹介する、導入する
reject,却下する、拒否する
destroy,破壊する
according to,によると、に従って
income,収入、収益
empty,空にする
entertain,もてなす、楽しませる
likely,おそらく／しそうだ
establish,を設立する、制定する
star,主演する、呼び物にする
secure,を確保する、固定する／安全な
state,述べる、言う
equipment,機器、装備
basis,ベース、基準、根拠
suffer,被る、受ける
environmental,環境の
apologize,おわびをする、謝罪する
provide,提供する
browse,見て回る、拾い読みする
tradition,伝統、しきたり
satisfy,満足させる
local,地元の／地元の人
facility,施設、設備
take part in,参加する、出場する
institute,制定する、始める
resume,再開する
opening,空き、開店、就職口
notify,知らせる
maintain,維持する、メンテナンスする
host,主催する、接待する
construction,建設
notice,お知らせ／に気づく
instruct,指示する、教える
deliver,（商品など）を届ける
participate,参加する、関与する
tour,見学する、旅行する／見学、旅行
subscribe,購読する、加入する
correct,修正する、訂正する
merchandise,商品
loosen,ゆるめる
research,研究、調査／研究する、調査する
focus,集中させる、照準を合わせる
result,結果／（結果的に）生じる
mail,郵送する
attend,出席する、参加する
fine,（天気が）晴れた、素晴らしい
shift,移す、変更する
admiration,感心、称賛
gather,集まる
delivery,配達（物）
availability,手に入ること、利用できること
announce,発表する、知らせる、公表する
set up,設置する
recently,最近
regularly,定期的に
blame,のせいにする、非難する
workforce,全従業員、労働力
require,要求する、義務付ける
indicate,示す
impression,（心に残る）印象
struggle,奮闘する、もがく、苦心する
employee,社員、従業員
fund,資金を与える
additional,付加的な、追加の
shuttle,往復運転で運ぶ
depart,（を）出発する
sweep,掃く、掃除する
review,検討する、論評する／検討、論評
appear,のように見える、現れる
offer,申し出る、提供する
go over ,をじっくりと調べる
load,荷物を積む
production,生産、作品
favor,善意の行為／の方を好む
earn,得る、稼ぐ
fire,解雇する
located,位置して
analyze,を分析する
commute,通勤する
generous,気前のよい、寛大な
import,輸入する
detail,詳細／詳しく述べる
attain,を実現する、達成する
direct,向ける、管理する、監督する
relationship,関係（性）
turn in,提出する、返却する
repair,修理／修理する
recover,取り戻す、回復する
contribution,貢献、寄付金
confess,告白する
increase,増加／増える、増やす
growth,成長、発展
update,更新する、改訂する
quantity,量、分量
regard,みなす、考える
include,含む
cost,費用がかかる（費用）
greet,挨拶する、出迎える
consider,考える、検討する
currently,現在は
activity,活動、アクティビティー
refuse,拒む、断る
subject,科目、（議論などの）題目
assign,割り当てる、配属する
advertising,広告（業）、宣伝（活動）
vacancy,空き室
stop by,立ち寄る
correctly,正しく、正確に
stack,積み重ねる
expect,予期する、予定する
connect,接続する、つなぐ
saving,節約、値引き
water,水をやる
firm,会社
attract,をひきつける、魅了する
pour,注ぐ
profit,利益
lay off,解雇する
client,顧客、クライアント、取引先
attention,注意、留意
feed,食べさせる、餌を与える
present,与える、提示する
annual,年に1度の、毎年恒例の、年間の
introduction,（人の）紹介、（物の）導入
face,（の方を）向く、直面する
